Area,Category,Item,Description,Date,Orders,Type of Order
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,28-02-2023,49,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,09-05-2023,145,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,20-03-2023,5,Takeaway
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,28-04-2023,172,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,30-12-2022,154,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,27-10-2022,52,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,20-09-2022,16,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,05-07-2022,181,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,01-11-2022,51,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",22-04-2022,113,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",21-01-2023,175,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,27-09-2023,44,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",17-11-2021,32,Dining
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,26-09-2022,174,Takeaway
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,25-06-2023,111,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,19-05-2022,77,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",22-10-2023,121,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",26-02-2023,28,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",09-05-2022,97,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,13-02-2022,78,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,29-09-2023,85,Takeaway
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,06-11-2022,64,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",18-05-2022,192,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",27-07-2023,153,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,19-05-2022,13,Online
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,21-10-2023,22,Takeaway
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,15-05-2023,58,Online
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,21-12-2021,98,Online
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",30-06-2022,150,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,31-01-2023,3,Dining
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,04-01-2023,32,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,29-05-2023,133,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,08-07-2022,118,Takeaway
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,11-10-2022,79,Dining
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",21-09-2022,81,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",30-11-2022,108,Dining
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,28-02-2023,22,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,15-04-2023,13,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",10-02-2023,128,Dining
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,28-02-2023,57,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,17-12-2021,33,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,05-12-2021,70,Online
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,14-12-2022,155,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,12-12-2021,141,Dining
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",27-07-2023,38,Takeaway
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,12-05-2023,177,Online
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,25-07-2022,133,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,27-10-2023,86,Takeaway
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,01-05-2023,133,Dining
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,09-08-2023,130,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,29-10-2023,168,Online
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,21-04-2022,95,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",12-11-2021,89,Takeaway
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",07-10-2022,67,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,19-05-2022,199,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,11-01-2023,167,Dining
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,20-01-2022,141,Online
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,05-05-2023,61,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,09-08-2022,169,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,24-09-2022,192,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",02-05-2022,92,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",13-12-2022,27,Dining
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",28-05-2022,6,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,28-01-2023,158,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,21-01-2022,196,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",04-09-2023,174,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,08-11-2021,152,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,11-07-2022,67,Dining
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",31-05-2022,38,Online
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,08-02-2023,113,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,15-12-2022,198,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,28-12-2022,92,Dining
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,22-10-2022,18,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,27-12-2021,118,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,30-03-2022,109,Online
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,09-09-2022,166,Takeaway
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,11-04-2022,127,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,11-10-2022,77,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",27-12-2022,114,Online
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,06-10-2023,112,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,09-08-2023,33,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,04-05-2023,198,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",24-09-2023,175,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",10-03-2022,168,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,29-10-2023,81,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,18-03-2022,22,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",11-04-2023,181,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",26-11-2022,172,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,20-01-2022,144,Dining
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,08-04-2022,138,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",13-12-2022,168,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",20-09-2023,54,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,02-07-2022,132,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,22-09-2023,122,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,17-09-2022,59,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",01-09-2023,180,Takeaway
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",05-11-2021,103,Online
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,09-02-2022,71,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",27-10-2022,73,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,21-07-2022,180,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,13-09-2023,183,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,15-10-2022,67,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",26-09-2023,134,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,29-06-2023,13,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",09-12-2021,47,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,03-01-2023,165,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",20-05-2022,14,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",05-05-2023,15,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,17-08-2023,58,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,28-03-2023,31,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,12-08-2022,171,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,17-11-2021,91,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,31-07-2022,179,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,21-04-2022,165,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,05-12-2021,183,Takeaway
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,30-08-2023,117,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",14-04-2023,13,Takeaway
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",08-03-2022,55,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,26-10-2023,197,Takeaway
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,14-06-2022,53,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,13-12-2021,110,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,03-03-2022,165,Online
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,20-08-2023,125,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,06-12-2021,130,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,01-05-2022,184,Dining
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,21-12-2022,165,Takeaway
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,06-04-2022,186,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,10-09-2023,59,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,05-11-2021,155,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",22-08-2023,152,Online
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",09-12-2021,3,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",12-12-2022,184,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,27-04-2023,59,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,24-04-2023,55,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,10-06-2023,158,Online
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,12-10-2023,113,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,24-02-2022,27,Dining
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,18-01-2022,109,Online
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,30-06-2023,24,Dining
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,07-11-2021,139,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,30-08-2022,117,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",02-11-2021,155,Online
Arcadia Bay,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,07-11-2021,138,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,08-04-2023,92,Takeaway
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,09-01-2022,38,Online
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,22-07-2022,68,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",31-10-2023,67,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,17-09-2022,52,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",12-05-2022,79,Dining
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",21-12-2021,40,Takeaway
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",16-02-2023,141,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",06-11-2022,199,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,09-04-2023,64,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,27-05-2023,181,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,10-12-2021,91,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,01-08-2023,160,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,09-10-2022,155,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",27-12-2022,159,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,06-01-2023,143,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,29-01-2023,68,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,27-08-2022,98,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",25-03-2022,154,Online
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",27-06-2023,196,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,25-03-2022,129,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,04-12-2021,137,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,22-08-2022,52,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,21-08-2023,68,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,19-02-2023,172,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,15-10-2023,40,Online
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,21-07-2023,33,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,23-03-2022,139,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",17-03-2022,125,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,01-06-2022,189,Dining
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",09-07-2022,47,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,17-12-2021,52,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",04-08-2023,187,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,08-06-2022,59,Dining
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,03-03-2023,125,Online
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,23-01-2022,163,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,30-11-2022,17,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",15-05-2023,49,Online
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,26-11-2021,74,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",23-12-2021,163,Online
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,09-04-2023,45,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,17-08-2022,196,Dining
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,29-07-2023,83,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,22-01-2023,75,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",09-02-2022,180,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,24-07-2022,147,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,20-02-2022,73,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",19-10-2022,191,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,03-09-2023,155,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",30-05-2023,11,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,26-09-2023,165,Dining
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,29-07-2022,107,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",09-06-2022,180,Takeaway
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",26-01-2022,145,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,03-08-2023,147,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,24-11-2021,153,Online
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,02-07-2022,126,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,15-04-2022,21,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",24-04-2022,99,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,13-06-2022,24,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",15-09-2023,17,Dining
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,17-10-2023,62,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,12-11-2021,63,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,24-11-2021,136,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,17-12-2022,160,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,15-03-2022,14,Dining
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,29-08-2023,129,Takeaway
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,02-09-2023,185,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,02-01-2022,147,Dining
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",15-11-2021,105,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,23-02-2023,92,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,03-11-2021,65,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,11-09-2023,117,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,26-10-2023,22,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",26-05-2023,181,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,26-05-2023,97,Takeaway
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,28-04-2023,18,Dining
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,23-08-2022,8,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",05-01-2023,23,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",08-08-2023,188,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,02-12-2022,130,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",01-01-2022,59,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,12-03-2023,28,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,07-12-2021,167,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,10-02-2023,142,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",27-09-2023,108,Online
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,02-11-2022,164,Takeaway
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,16-09-2023,86,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,28-11-2021,12,Dining
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,24-12-2021,121,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",25-01-2023,54,Dining
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,07-12-2021,42,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,07-09-2022,62,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",08-05-2022,69,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,14-09-2023,8,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,16-01-2022,154,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,23-10-2022,15,Takeaway
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",20-05-2022,141,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,18-05-2023,65,Online
